review,label
"b'can you say "" dated "" ? \nyou can if you\'ve seen rosemary\'s baby which , like the exorcist , was a thrilling horror film in its time but seems boring and laughable in the decades that have passed since its original release . \n "" mystery science theater 3000 "" has skewered the bad films of the past , but let me tell you , it could do a number on the "" good "" ones too . \nrosemary\'s baby stars mia farrow ( from the time she was actually good-looking ) as an innocent housewife and her not-so-innocent husband ( john cassavettes ) , an actor who takes an easy , albeit evil , road to success . \nit all seems so harmless in the beginning . \nmia and john move into an apartment where several past murders have been committed . \n ( there\'s also a skull in the living room , but it\'s only for decoration . ) \ntheir elderly neighbors pop in for a housewarming . \nall\'s well for about the first hour of this slow-moving film , until mia eats some of the neighbors\' chocolate mousse and passes out . \nwhen she comes to , she finds herself in a darkened room with a bunch of people yelling and dancing like savages and a big , evil man raping her -- a foreshadowing of her future life with woody allen . \nit seems like a dream and , when she finds herself pregnant , she almost forgets about it . \nand everyone\'s helping with the pregnancy . \nthe neighbors have some wonderful vitamin potions for her to drink , a good-luck charm for her to wear around her neck , and the name of an obstetrician who\'s been in the business 66 . 6 \nyears . \nmeanwhile , mia begins having chronic stomach pains and losing a lot of weight . \nbefore too long she looks just like the lead singer of the cranberries . \nthat\'s when you know your health\'s failing . \nthe only person in the movie who\'s the least bit suspicious of all this is an old friend ( maurice evans ) who calls mia up to give her the bad news -- and immediately falls into a coma . \nby about the two-hour mark i felt the same way . \nrosemary\'s baby is way too long , and leads up to a payoff that\'s about as boring and laughable as the rest of the movie . \ni guess someone put a spell on this movie . \n'",0
"b'where do i begin ? \nokay , how about with this : starship troopers is one of the worst movies to hit theaters in a long time . \nin fact , it might even be the worst * major * release film to come out in years . . . \nor even a decade . \nthis is bad beyond belief . \ni would * not * suggest paying money to see this . \nthere\'s a good chance you\'ll regret it . \nif you see it for free , you could still want to walk out . \ngo right ahead . \nthe movie starts off with cheesy 90210 scenes set in the future world of . . . buenos aires . \nhere we meet the group of horrendously bad actors and actresses playing obnoxious , easy-to- * despise * -with-a-passion characters that have love triangles , love rectangles , and love hexagons screwing up their life . \nbefore long they all go off and join the military , primarily in the interest of having sex with the other youngsters that joined . \nthey train . \nthey strut around nude for no reason whatsoever . \nafter an hour of making the audience scream in agony , they start fighting bugs . \nthe big bugs look nice , even though their design is only "" okay . "" \nunfortunately , the fights are boring since we * want * all of the characters dead anyway . \ncue more agony . \nthen some characters have sex . \nthen some more die . \n * * * who cares ? ? ? * * * \ncue more agony . \nthe movie ends , the audience runs out to their cars , vomits over the pavement , and attempts to drive home . \nunfortunately , after that torture , they can\'t think straight , don\'t pay attention to the road , and many are in ugly car wrecks . \nyou remember how batman & robin was bad ? \nwell , batman & robin kicked this movie\'s sorry butt , people . \nstarship troopers does not succeed as an action movie . \nit does not succeed as a drama . \nit does not succeed as a war movie . \nit does not succeed as a comedy . \nit does not succeed as a satire . \nit does not succeed as a parody . \nit succeeds as being horrible . \nterrible . \ngut-wrenchingly bad . \ni wanted to run away from that movie every minute . \nbut i paid my money and i owed it to others to see if the movie got any better . \nso i stayed . \nit never got better . \nfrequently , it did the impossible , and got * worse * . \nthe movie as written , acted , directed , and basically just feels as a whole like it\'s about on the mental maturity level of a free willy 4 . the whole thing feels like a movie that only three-year-olds could enjoy . . . \nexcept for the ridiculously gratuitous blood and gore , and pointless nudity . \nit\'s written for little children , but children should definitely * not * go anywhere near it . \nof course , i recommend the same for everyone . \ndon\'t go anywhere near it . \nverhoeven\'s got a streak going now . \nhis last movie was showgirls . \nhe seems to be trying to see how bad his movies can get before people finally stop coming . \nshowgirls was a failure , but it appears that , though it\'ll be lucky to make near its budget , this movie will still do okay gross-wise . \nis it really * all * bad ? \nwell , no . \ntroopers has about four or five lines of dialouge/short humorous scenes that are actually funny , mostly from the "" do you want to know more ? "" \ncommercials that pop up throughout the story , promoting the joys of the joining the troopers . \nso that adds up to about 30 seconds of entertainment and still about one hour , 59 minutes , and 30 seconds of miserable torture . \ni\'m totally confused as to the way that some people are really enjoying this movie . \nbut i do admit it . \nso , if you\'re willing to possibly put yourself through torture , go ahead and see it , and decide for yourself if you love it or hate it . \ni don\'t know how anyone or any * thing * could love this movie , but hey , to each his own . \nfeel free to give it a shot . \nof course , in the interest of saving your souls , i don\'t recommend it . \nbut guess what ? \nalien resurrection comes out november 26th , and , having already seen some of it and having read the script , i assure you that it will blow pretty much everyone away . \nthough opinion on starship troopers is reasonably split , it\'ll be difficult to find someone that * won\'t * like alien resurrection when they\'ve seen it . \nthis is possibly the year\'s best intense action film , or at least * one * of the best . \nif you really want to see alien warfare that\'s played out intelligently and seriously , see alien resurrection . \nplease , avoid this . \n'",0
"b'seen december 28 , 1997 at 8 : 45 p . m . at the crossgates mall cinema 18 ( guilderland , ny ) , theater #8 , with matt perreault and my sister jena for free ( matt paid using pre-paid passes ) . \nif there\'s ever been an exception to the perils of excessive cliches and non- stop action , the james bond films are it . \nand if there\'s ever been a james bond film that not only proves this , but does so by pushing it to the extreme , "" tomorrow never dies "" is it . \nopening sequences almost always make or break action films . \nwhen done properly , not only are they actually exciting , but they foreshadow things to come . \nthis film starts off on the right foot by establishing the kind of atmosphere that could only be found in an action movie , but with a sense of the self-aware , enclosed universe where james bond movies take place in . \nfirst there\'s a high-tech , slightly complicated scene involving a british warship crossing into unfriendly , chinese waters . \nthere\'s definite tension as there seems to be an unknown , but certainly hostile , third party involved who is manipulating both sides . \nwhen the scene ends in tragedy , it\'s clear there\'s some kind of powerful conspiracy going on , and who else to call on for such a case but james bond ? \nthe film uses good judgment in the way it introduces us to bond ( brosnon ) . \nas the enemy was portrayed as evil and mysterious , bond is clearly ( and obviously ) depicted as an out-and-out hero . \nhe single-handedly takes out a small army of terrorists , and then must escape in the nick of time by flying away in a fighter jet while the co-pilot tries to strangle him and a terrorist in another jet tries to shoot him down ! \nthis might sound like the kind of cliches films like this are notorious for ( over- ) using , but it works here because the film knows how to get our attention quickly . \nit\'s not about the payoff because it\'s obvious bond will escape , instead , it\'s the way it processes the action sequences by going over the top and not apologizing for it , all the while creating for witty , hysterical comedy . \nit seems less emphasis is placed on the villains in thrillers anymore , because of political correctness , and just plain copping-out on behalf of the filmmakers ( even the term "" villain "" sounds passe ) . \nwhat the film deserves kudos for is its ability to create a villain as heinous as they come , yet making him seem completely plausible . \njonathon pryce delivers a perfect performance as the arrogant , cunning elliot carver , a media mogul whose goal is to take over the world , that is , through his massive media empire , not through nuclear weapons . \nthrough some interesting detective work , bond and the english ministry of defense believe carver is behind the trouble brewing in the southern asian seas as a way to create and accurately cover his own news . \nnot only is that an original idea for a conflict , but one which could carry over into reality . \nsurprisingly , this is about as detailed as the story allows the specific plot to become . \nthe film\'s hook is the action , and of course those cool gadgets and we get plenty of that here as bond goes out to investigate carver and finds himself in a jam or two along the way . \nthe story works much like bond himself - always on the run and concentrates more on the individual conflicts than any general plot . \nsomehow a chinese agent , wai lin ( yeoh ) , bumps into bond a few too many times and they find themselves working together . \nthe chemistry between brosnon and yeoh is rigid , but also works because of this , not in spite of it . \nthe two are constantly on the run from carver and his goons , yet the film manages to balance the stunts and special effects with its clever story . \nalthough "" tomorrow never dies "" is far from perfect , it is quite an impressive film in terms of its ability to be so cliche and cartoony and not make plausibility an issue . \n'",1
"b'call "" hush "" "" stop or my mom will kill . "" \nor "" mommy fearest . "" \nor "" the hand that robs the cradle . "" \ncall it whatever you want , but certainly don\'t see it unless you\'re in desperate need of a bad movie-induced chuckle -- "" hush "" scores so many unintentional guffaws that it almost qualifies as a guilty pleasure . \nchalk its losses up to frequent stupidity lapses and apparent post-production tinkering ( it was supposed to open about a year ago ) , the latter of which appears to have given "" hush "" a send-off that\'s downright infuriating . \nit\'s too bad that "" hush "" is so laughable , because the on-screen talent -- including the pairing of gwyneth paltrow and jessica lange -- is nothing to laugh at . \npaltrow and johnathon schaech play helen and jackson , a photogenic new york couple on their way to spend christmas vacation at his wealthy , well-to-do family\'s horse farm/estate kilronan . \njackson\'s mother martha ( lange ) runs kilronan all by herself , and her genteel southern hospitality makes helen feel welcome immediately -- even if her first meeting with martha takes place while helen is in the altogether , caught red-handed after a bedroom romp with her husband-to-be . \nbut it seems that martha\'s friendly smile masks a much more threatening demeanor ; she\'s what you\'d call someone who loves too much . \nmartha eagerly , deviously wants a grandchild , and then helen will be expendable , as far as she\'s concerned . \nif there\'s one reason to catch "" hush , "" it\'s lange . \nshe treats the pedestrian screenplay better than it deserves to be treated , injecting martha ( poorly written though she may be ) with a little empathy to level out the psycho-playing field . \nwhen she delves into martha\'s dark side , predictable cliches -- chain-smoking , staring in mirrors , praying in a confessional to a priest who isn\'t there , poking a hole in helen\'s diaphragm so she\'ll become pregnant ( and she does ) -- abound , but it\'s moderately entertaining junk because lange is such an interesting actress to watch . \nveteran performer nina foch is smart and tart as jackson\'s wheelchair-bound paternal grandmother . \nthe rest of the cast looks ill and uncomfortable , especially paltrow . \nbut can you really blame them ? \nthe character relationships in "" hush "" hold a certain amount of promise , at least until their psychological impact is blown out of the water by sheer stupidity . \nidiotic situations ( martha yells at a nearby horse so it will bolt up and knock helen over ) compliment idiotic dialogue ( "" why did you yell ? "" \nhelen yells back at martha ) , and the film takes the form of one of the shoddier fill in the blank-from-hell flicks ever made . \nyou can see through a great deal of martha\'s actions and lies from their conception ; why do people who have known this woman for years longer than we have never figure things out ? \ndoes nobody communicate or read the newspaper in this town ? \nif any of her potential victims thought , acted or behaved like normal people , "" hush "" would be a really short movie . \nand then there\'s the climax and ending , which abruptly come when helen starts having contractions after eating some pound cake spiked with a labor-inducing drug normally used on horses . \nafter a really weird chase scene , martha calmly knits in a rocking chair while forcing helen to give birth in a bed all by herself . \ni won\'t spoil what happens next except to say that it\'s contradictory , illogical and ( probably , since i\'m no doctor ) medically impossible . \nthe final scene offers no closure , no resolution , no confrontation whatsoever . \nit\'s just there , dangling amidst silent displeasure . \nno one should like this ending , regardless of their feelings on the preceding material . \nperhaps "" hush "" \'s title is a plea to silence its audience\'s likely bitter word of mouth while exiting the theater . \n'",0
"b'why do people hate the spice girls ? \n ? what exactly have they done wrong , other than perhaps offend the fashion police ? \n ? so what if they are not "" great "" singers---they ain\'t singing opera , folks , its pop music ! \n ? who exactly is a "" great "" singer ? \njudging by that opening paragraph it is obvious that i like the spice girls . \n ? they do what they do--sing some catchy tunes--and they do it pretty well . \n ? they are able to carry that into their first film , "" spice world "" . \n ? "" spice world "" certainly isn\'t a great filmgoing experience . \n . \n . \nwhat it is what the spice girls are all about : fun , songs , and a lot of "" girl power ! "" \ndrawing from a number of different films ( like the beatles\' "" hard day\'s night "" ) "" spice world "" chronicles the week heading up to the girls\' first concert at london\'s albert hall . \n ? they get to tool around london in a big ol\' bus ( driven by meat loaf ! ) and generally have fun . \n ? in order to through a semblence of plot into the film , there is an evil tabloid publisher played by barry humphries , better known to americans , for about 15 minutes , as dame edna ( remember her ? ) \n ? he wants to sabotage the girls\' concert so he can sell papers . \nof course , the point in a movie like "" spice world "" isn\'t plot . \n ? the center of the film is the spice girls themselves : ginger ( the recently departed geri haliwell ) , posh ( victoria adams ) , sporty ( melanie chisolm ) , scary ( melanie brown ) , and baby ( emma bunton ) . \n ? each one has their own personality and , perhaps the best part of the film , look like they are having some honest-to-goodness fun , something that can\'t be said for a lot of people in films today . \nalong for the ride are richard e . grant as their manager , clifford , and various other characters making quick cameo appearances ( including teriffic british actors like richard briers and stephen fry ) . \n ? and , every once and a while , roger moore pops up as the chief to spout odd koans ( added bonus : he gets to , in the words of craig kilborn , dance , dance , dance . ) \nwatching this film was fun , for the most part . \n ? there are a few slow segments , but overly , director bob spiers keeps things moving at a quick pace , with plenty of hummable spice girls songs in the background . \n ? his camerawork is fairly pedestrian , though the final concert number is done quite well with effective use of editing . \n ? \nthe look of the film promotes the high fun , with the design of the spicebus being quite original and eye-catching . \n ? add in wall-to-wall spice girls music and this film is lovable romp . \n ? if you don\'t like the spice girls , you won\'t change your mind with this film . \n ? but , if you find them at least tolerable , get ready to sit back and chill because the spice girls are here to entertain you . \n . \n . \nand do it quite well . \n ? \n "" spice world "" ( 1998 ) . \n ? directed by bob spiers . \n ? written by kim fuller . \n ? music by the spice girls . \n ? with geri halliwell , victoria adams , melanie chisolm , melanie brown , emma bunton , richard e . grant , claire rushbrook , roger moore . \n ? distributed by columbia pictures . \n ? running time : 92 minutes . \n ? rated : pg . \n ? available on home video . \n---- 29 june 1998 \n'",1
"b'this independent film written and directed by eric bross has the look and feel of all those other troubled blue-collar youth films that have inundated the market in recent times . \nit is hard to tell what is independent about this film ; it might as well have been made in hollywood or on a home videocam . \nit is the debut film for the director , who tells his personal story about italians growing up with heavy new jersey accents and remaining tight with each other as they grow into young adults , a tale which could have been rewarding to see in the 1950s , where the mind-set of all the characters depicted is grounded , but to see it in the 1990s is a different story : it is old news . \nthe love story between the simple girl waiting to get married and her luckless boyfriend turning nasty on her doesn\'t mean much , since their relationship remained undeveloped . \nthe introduction of the wise-guy angle and the loyality among buddies bit , are not moving enough emotional experiences or intelligent enough dramatics to elevate this film above its limited story line despite the tour-de-force performance by the star of the film , adrien brody as ray . \nray is the only son of a low-level mobster once arrested for running an illegal casino operation out of his bloomfield , new jersey , suburban basement . \nray sr . ( vincent ) is now trying to make a go of it by running a small scale home-repair business . \nhis son lives with him and works unhappily as a shoe salesman , dreaming of getting rich quickly so he can open a business and marry his long-time waitress girlfriend joanne ( sybil ) . \nthe title of this film refers to the shoe size of paul newman-10b , which really has nothing to do with explaining anything about the film . you \nshould be aware that there are a lot of things about this film that don\'t make sense : its constant brainless chatter between the buddies , their uneventful growing pains , and the despair of their lives , make it very difficult to feel any empathy for them . \ndesperate to make his dream come through , ray goes to a loanshark , humorously and menacingly played by james e . moriarty , and borrows 10 grand to bet on a "" sure thing "" at freehold raceway . \nthe horse loses and now ray has big problems , as the loanshark comes after him with his muscle to get his dough . \nthere is nothing i have seen so far to like about ray . \nhe is undependable , mean-spirited , and stupid . \nso when his best friend mike ( gallagher ) , the narrator of the film , gets a chance to sleep with his girlfriend--who cares ? \nthe director must be kidding himself if he thinks we do . \nas for ray\'s gambling debt and his dilemma of how to pay it off , the story is too predictable for anything other than what you would expect to happen . \nhis buddies , the college student mike and the dependable butchie ( gillan ) , and his old man , who he has this love/hate relationship with , rally to his aid . \nand the film ends on an obligatory artistic note of ambiguity , that seems to be the way it is for all those wannabe artistic films , as ray is off to florida all by his lonesome self to try to put his life together . \nthere was just no energy or spark or anything relevant in this superficial film to keep it interesting , though adrien brody showed signs that he could be a future star . \nbecause of his intensity and looks , he reminds me of sean penn . \n'",0
"b' "" virus "" is the type of cliched , vacuous film that has been recylcled so many times before that you wonder why anyone would even bother putting work into making it . \nstrangely enough , on the same mid-january weekend last year , another film was released like this , "" deep rising , "" about an ugly monster on a cruise liner . \nprior movies with the almost exact same storyline include 1989\'s "" leviathan , "" 1989\'s "" deep star six , "" and all four "" alien "" pictures . \n "" virus , "" in comparison , is a servicable thriller , well-made and produced , but since it doesn\'t include one moment of even remote originality or intelligence , it sinks under the weight of the water that the film was shot on . \nbased on a series of comic books , "" virus "" concerns the crew of an ocean salvage tugboat , which becomes extremely damaged during a violent typhoon . \nafter discovering that the boat is slowly sinking , ( un ) lucky for them , a huge ocean vessel that appears to be dead in the water turns up within the confines of their radar screen . \nonce the team reaches the russian ship , they go on board to find that the place is seemingly deserted . \nafter turning the power back on , however , there gradually are signs that something else is on the ship , and the electrical equipment is oddly working by itself . \none survivor finally does turn up , nadia ( joanna pacula ) , who informs the suicidal and stern captain ( donald sutherland ) and one of the crew , kit foster ( jamie lee curtis ) , that a mysterious alien life form hit the santi mir space station which then was transported down to the ship , taking over the minds of all of the electrical machines and thinking that humans are viruses that should be completely wiped out . \nif "" virus "" sounds like all of the previously mentioned movies , you\'re correct . \nalthough the technical artistry is fairly impressive to bring the mechanical creature to life , the film itself doesn\'t appear to have a brain in its head . \nthe film sticks so close to the worn-out conventions of the "" creature "" genre that it is amazing anyone would spend the money and time filming it when they could be making an original film . \nthe actors are all very good and have all proven their acting abilities in the past , but they are sorely wasted here and do not really even have characters to play . \nin her second return to horror in the last year , jamie lee curtis once again proves to be a strong and resourceful heroine , but that is about it . \nalthough 1998\'s "" halloween : h20 "" was also a disappointment , at least she was given a few scenes to develop a character , unlike here . \ndonald sutherland has fallen on hard times recently by starring in thoroughly disposable films , such as 1994\'s "" the puppet masters , "" although i just watched him in the superb 1978 sci-fi classic "" invasion of the body snatchers , "" where he was fabulous . \nthe last of the three top-billers is william baldwin , but it is fairly hard to say if he is good or not in the picture , since he has nothing to do . \nbasically , "" virus "" is another one of those films where a group of people walk around and investigate a space ship/ocean liner/haunted house until the deadly and equally grotesque and slimy creature pops up and kills them one-by-one . \nit is not the worst of its type , but it is far from one of the best , and when exactly are studios going to give up recycling such shameless and overdone plot gimmicks such as this ? \nas long as some of them keep making money , i suspect the answer is never . \n'",0
"b'synopsis : blond criminal psychologist sarah chooses to copulate with greasy tony the mysterious puerto rican rather than bearded cliff the wisecracking neighbor upstairs . \nin the meantime , someone sends sarah rotting flowers , puts her name in the newspaper\'s obituary column , and kills her cat . \ncomments : never talk to strangers , a colossal waste of time , moves slower than molasses in winter to arrive at a conclusion which should be obvious to the audience 20 minutes into the film . \none wouldn\'t think that two genuine movie stars , antonio banderas ( evita ) and rebecca de mornay ( hand that rocks the cradle ) , and the acerbic comic genius dennis miller ( "" saturday night live "" ) would be involved in such a celluloid backfire as this turkey . \nnot only are they in it , however , but de mornay executive produced it . \nwhat was she thinking ? \nnever talk to strangers centers upon sarah , a psychologist examining the ill-tempered max , a murderer soon to stand trial . \nshe receives a sudden visit from her father which elicits flashbacks of some tragedy in her early childhood . \ntwo men woo her ; tony the "" security consultant "" wins her over ( so they have passionate sex replete with cheesy saxophone music ) . \na lot of psychobabble is thrown around about multiple personality disorder , but the movie asks its audience not to derive the obvious conclusion between mpd and sarah , and instead offers several male characters as red herrings . \n86 minutes , the running time of this cinematic mess , thus , seem like 86 hours . \na good chunk of never talk to strangers is spent upon sarah and tony . \nwhy would the career-minded , professional sarah feel attracted to the walking steroid with a black hat called tony ? \nthat\'s one of the film\'s mysteries which are never answered . \nregardless of motive , de mornay and banderas strip down and have sex several times in what passes for eroticism . \nthey also manage to go out before copulating occasionally -- in one of the stupidest scenes of the film , tony takes sarah to a carnival that\'s * right outside * his dingy apartment ( that way , they can hurry back and have sex quickly ) . \nalso , apparently , the weather changes quickly in their locale : they\'re at this outdoor carnival one day before having sex ; the next day , they\'re out playing in the snow before having sex . \nthe filmmakers attempt to produce a suspenseful plot interspersed with tony and sarah\'s "" character development . "" \nsomeone is out to get poor sarah ( though most of the audience should have figured out who before any of this starts ) . \nrotting flowers , a writeup in the obituary , and a beaten neighbor are just a few of the bad things which happen to her . \nsuspense cliche number one also occurs : whenever someone is stalked in thrillers , by any means , if the stalked has a pet , that pet will die . \noftentimes , to even further the cliche , the murdered pet is a cat ( suspense filmmakers , for some reason , just don\'t like cats ) . \nsarah , in never talk to strangers , receives a package and , lo and behold , discovers her mutilated cat within . \nsuspense at its very derivative ! \nas stated before , never talk to strangers is a poor excuse for a film whose sole purpose seems to be exploiting banderas and de mornay\'s bodies as often as possible . \ncomedian dennis miller is completely wasted here ( he\'s not given lines that are suitable for his persona ) and doesn\'t even appear all that much . \nmaybe , in a way , he\'s lucky for that . \nearly on in the movie , sarah tells tony , after meeting him in a supermarket , that she had been advised to never talk to strangers . \nallow me to advise that you never watch this stinker . \n'",0
"b'tempe mills cinema , az--this movie had us in non-stop stitches from beginning to end . \nall those promotional clips that have been on tv for the past month came from the first five minutes of the movie . \nif you thought they were funny , see the rest of the movie . \nit\'s hilarious . \nhow does one go about making a movie about a couple guys whose only claim to fame is synchronized head-bopping on snl to exactly one song ? \neasy . \nwrite an interesting script around tried-and-true ideas , add some good lines and satire , and voil ? , you end up with an excellent , well-done , very entertaining flick . \nwill and chris are idiot brothers forced by their father to work begrudgingly in the family flower business during the day . \nat night they pursue their life-long ambition to loose their virginity in failed attempts to get into the roxbury in beverly hills , ca , the only disco act worth going to . \nthe only problem , the place is so popular and the waiting line so long that by the time the brothers make it to the front door , the roxbury closes , all the while bearing witness to guys with one-hundred-dollar bills and movie stars like richard grieco who get past the doorman without fuss . \nthe script authors ( steve koren , will ferrell and chris kattan ) cleverly devised a way for our boys to get into the roxbury . \ntheir flower-shop van is rear-ended by richard grieco , who fears a law-suit and is surprised to see the idiots are too star-struck to think about the car accident they just had , but not about getting into the roxbury . \ngrieco happily takes them in , even introduces them to the owner , which has the added benefit of enhancing the financial appearance of the idiot brothers in the eyes of a couple of gold diggers ( elisa donovan and gigi rice ) who bet their time and bodies on will and chris . \nwhat follows are some of the best slap-stick dancing routines ever . \nthe music is superb , and could have only been made better had the producers added patrick hernandez\'s born to be alive . \nthe choreography at times was a parody of an era gone by , for example , the bee gees and their stayin\' alive . \nit is nostalgic for those of us who remember that far back , and the technique is a clever adaptation that worked well in forest gump . \none of the funniest scenes is when the gold diggers discover that will \nand chris don\'t have any mone y , and dump both on the spot , even expressing violence and anger that they gave sex away . \nan art-imitates-life poke at shallow women . \nit\'s a scene that\'s an approximate parody of the vinegar\'s own rolf luedeke\'s editorial this week national organization for men ( nom ) replaces now . \nted "" unabomber "" \nkaczynski , himself rejected for not having money , will identify well with this scene , if he ever watches the movie . \nof course , the script wouldn\'t be complicated enough without adding molly shannon , the girl next door who has had a crush on will since they were kids , and who will has had an aversion to in quest of good-looking disco blondes ( proof that men will turn down perfectly good women when there are bay watch babes always lurking nearby ) . \nnevertheless , will\'s father wants him to marry molly anyway , but thinks idiot chris is standing in the way and sends him into guest-quarter exile . \nduring the wedding ceremony , will\'s heart isn\'t exactly into getting married , and when his brother appears on the balcony with a ghetto blaster and more head-bopping music , will thinks worse of the knot-tieing idea and runs to chris . \ndefinitely an snl parody of the graduate where katharine ross changed her mind for the screaming dustin hoffman in the church balcony . \ni found this scene a riot , however , it went over brandi\'s head -- she was born seven years after the graduate first appeared . \nthe scene has a good punch line when molly shannon marries , instead , the step-in buddy/weight-lifter ( who looks like he could pass for the son of gary busy ) and who has been lusting for a good-looker for a long time , but ready now to take anyone . \nmore art-imitates-life stuff -- not even muscles can substitute for money in the real world . \nthe idiots\' mother is played by loni anderson , whose barbie-doll looks \ndon\'t play well anymore ( she\'s a bit old ) , and whose cleavage looks like someone botched a tracheotomy too low down . \ni recommend this movie for anyone who wants to have a lot of fun or in \nneed of a lot of laughs . \ngo with a date . \nbrandi laughed non-stop , as i \ndid , and a deaf-mute might have concluded i was tickling her continuously for 105 minutes . \n'",1
"b""well , what are you going to expect ? \nit's a movie about a big snake that eats people . \nthat's what i should have been thinking when i viewed this film , because maybe then i would have enjoyed myself more . \ninstead , i ended up wishing a giant snake would come along and eat me , too . \nanaconda is about a documentary film crew sailing down a south american river . \nled by anthropologists dr . steven cale ( eric stolz ) and terri flores ( jennifer lopez ) , the crew is attempting to locate a lost tribe of natives . \nalong the way , they find poacher paul sarone ( jon voight ) , and become unwillingly embroiled in his quest to capture the elusive anaconda . \nto simply say that this is the world's largest snake wouldn't be doing it justice , since the anaconda in this movie is at least two feet wide . \nif this isn't a good reason to avoid picking up hitchhikers , i don't know what is . \nat the beginning of anaconda , we find that flores and cale have had some kind of relationship in the past , but that seems to be more or less over now . \ni expected that fact to play a key part somewhere down the line , but it ended up being a set-up for nothing . \ncale chokes on a deadly wasp ( don't ask me how that happens - i don't know ) and is put out of action , relegated to being the person whom the rest of the film crew must get back to civilization for medical help . \nthis minimally helps to add a sense of urgency for the plot , since this goal now comes in direct conflict with sarone's plan to capture the snake . \nhowever , this is negated by the fact that cale seems to get better by himself about halfway through the film , and in any event still results in zero payoff from the relationship angle . \nmost bad characters are either annoying or stupid . \nin this movie , they're both . \nsince this description applies to all the characters except sarone , it's hard to find someone to root for . \nyou're supposed to back the good guys , but you really end up cheering for sarone because he's smarter than everyone else . \nor maybe he's just not as dumb as everyone else . \nat times , i almost found myself rooting for the snake . \nthere are no standout performances here . \neveryone seems to be reciting lines written for stock characters . \neven voight appears to be doing his best impression of christopher walken for some reason . \nno matter , as in most monster movies , the snake is supposed to be the real star anyway . \nin most of the scenes , the snake is computer generated , and the effects crew did a decent job of making it look real . \nhowever , the realism is thrown off by some pretty unrealistic occurrences . \nsometimes , for example , the snake just moves too fast . \nit catches a guy jumping off of a waterfall , for crying out loud . \nthen there's another scene where the snake eats one of the characters , and we see the snake's skin drawn so tightly over its prey that we can see the victim's pained expression from within the snake's belly . \nabsolutely ridiculous . \na testimony to the film's bad direction is the inclusion of a scene early on the in the film , where we get to see just how dangerous the mighty anaconda is . \nin a scene totally unrelated to anything else , we are witness to the big snake winning a showdown with a panther . \nthe anaconda wraps itself around the powerful feline as if it were a stuffed animal and squeezes it so hard , one of the panther's eyeballs pops out . \neeeewwwww . \nabove and beyond the sick factor , however , this scene surprised me because it actually showed the face of the snake before a quarter of the movie had even passed . \nin films like these , a sense of mystery surrounding the monster must be maintained . \nif the characters are reacting to something they fear more than see , we as an audience must experience that feeling along with them . \nto show us the monster early on is to let us in on something the characters don't know about , and therefore allow us to get used to the danger before the pivotal moment when man and beast have their climactic showdown . \nin a case like that , the showdown just ends up being a letdown . \nwhen i saw the snake for the first time , i decided to give the film the benefit of the doubt and assume that the snake i saw wasn't the real danger . \nthis one was just a decoy , and there was actually a bigger snake waiting to make its appearance just when everyone thought they were safe . \nno such luck . \nokay , maybe anaconda is actually a decoy , and there's really a better movie waiting to make its debut . \n""",0
