clf,n_estimators,max_tree_depth,accuracy
RandomForest,50,2,0.676
RandomForest,50,3,0.7
RandomForest,50,4,0.6893333333333334
RandomForest,50,5,0.692
RandomForest,50,6,0.7186666666666667
RandomForest,50,7,0.716
RandomForest,50,8,0.724
RandomForest,50,9,0.6906666666666667
RandomForest,100,2,0.7013333333333334
RandomForest,100,3,0.6933333333333334
RandomForest,100,4,0.7386666666666667
RandomForest,100,5,0.728
RandomForest,100,6,0.7386666666666667
RandomForest,100,7,0.7426666666666667
RandomForest,100,8,0.7413333333333333
RandomForest,100,9,0.7346666666666667
RandomForest,150,2,0.728
RandomForest,150,3,0.7306666666666667
RandomForest,150,4,0.7613333333333333
RandomForest,150,5,0.756
RandomForest,150,6,0.7386666666666667
RandomForest,150,7,0.7586666666666667
RandomForest,150,8,0.7666666666666667
RandomForest,150,9,0.7346666666666667
RandomForest,300,2,0.74
RandomForest,300,3,0.7453333333333333
RandomForest,300,4,0.764
RandomForest,300,5,0.764
RandomForest,300,6,0.7626666666666667
RandomForest,300,7,0.7533333333333333
RandomForest,300,8,0.756
RandomForest,300,9,0.76
RandomForest,350,2,0.7453333333333333
RandomForest,350,3,0.7546666666666667
RandomForest,350,4,0.768
RandomForest,350,5,0.7653333333333333
RandomForest,350,6,0.7746666666666666
RandomForest,350,7,0.764
RandomForest,350,8,0.7546666666666667
RandomForest,350,9,0.7626666666666667
RandomForest,400,2,0.752
RandomForest,400,3,0.7533333333333333
RandomForest,400,4,0.7653333333333333
RandomForest,400,5,0.7653333333333333
RandomForest,400,6,0.776
RandomForest,400,7,0.7546666666666667
RandomForest,400,8,0.756
RandomForest,400,9,0.7586666666666667
