clf,n_estimators,max_tree_depth,accuracy
sig_RandomForest,50,2,0.724
sig_RandomForest,50,3,0.736
sig_RandomForest,50,4,0.744
sig_RandomForest,50,5,0.752
sig_RandomForest,50,6,0.74
sig_RandomForest,50,7,0.764
sig_RandomForest,50,8,0.752
sig_RandomForest,50,9,0.78
sig_RandomForest,50,10,0.788
sig_RandomForest,50,11,0.776
sig_RandomForest,50,12,0.764
sig_RandomForest,50,13,0.756
sig_RandomForest,50,14,0.776
sig_RandomForest,100,2,0.736
sig_RandomForest,100,3,0.748
sig_RandomForest,100,4,0.756
sig_RandomForest,100,5,0.756
sig_RandomForest,100,6,0.744
sig_RandomForest,100,7,0.76
sig_RandomForest,100,8,0.772
sig_RandomForest,100,9,0.78
sig_RandomForest,100,10,0.768
sig_RandomForest,100,11,0.788
sig_RandomForest,100,12,0.788
sig_RandomForest,100,13,0.772
sig_RandomForest,100,14,0.788
sig_RandomForest,150,2,0.736
sig_RandomForest,150,3,0.76
sig_RandomForest,150,4,0.752
sig_RandomForest,150,5,0.748
sig_RandomForest,150,6,0.772
sig_RandomForest,150,7,0.764
sig_RandomForest,150,8,0.768
sig_RandomForest,150,9,0.776
sig_RandomForest,150,10,0.764
sig_RandomForest,150,11,0.78
sig_RandomForest,150,12,0.776
sig_RandomForest,150,13,0.776
sig_RandomForest,150,14,0.792
sig_RandomForest,300,2,0.736
sig_RandomForest,300,3,0.756
sig_RandomForest,300,4,0.744
sig_RandomForest,300,5,0.76
sig_RandomForest,300,6,0.776
sig_RandomForest,300,7,0.776
sig_RandomForest,300,8,0.772
sig_RandomForest,300,9,0.78
sig_RandomForest,300,10,0.776
sig_RandomForest,300,11,0.776
sig_RandomForest,300,12,0.772
sig_RandomForest,300,13,0.776
sig_RandomForest,300,14,0.788
sig_RandomForest,350,2,0.728
sig_RandomForest,350,3,0.76
sig_RandomForest,350,4,0.776
sig_RandomForest,350,5,0.76
sig_RandomForest,350,6,0.764
sig_RandomForest,350,7,0.776
sig_RandomForest,350,8,0.772
sig_RandomForest,350,9,0.788
sig_RandomForest,350,10,0.776
sig_RandomForest,350,11,0.788
sig_RandomForest,350,12,0.768
sig_RandomForest,350,13,0.776
sig_RandomForest,350,14,0.788
sig_RandomForest,400,2,0.732
sig_RandomForest,400,3,0.752
sig_RandomForest,400,4,0.764
sig_RandomForest,400,5,0.776
sig_RandomForest,400,6,0.772
sig_RandomForest,400,7,0.776
sig_RandomForest,400,8,0.764
sig_RandomForest,400,9,0.788
sig_RandomForest,400,10,0.764
sig_RandomForest,400,11,0.784
sig_RandomForest,400,12,0.776
sig_RandomForest,400,13,0.772
sig_RandomForest,400,14,0.788
sig_RandomForest,500,2,0.74
sig_RandomForest,500,3,0.752
sig_RandomForest,500,4,0.76
sig_RandomForest,500,5,0.768
sig_RandomForest,500,6,0.772
sig_RandomForest,500,7,0.76
sig_RandomForest,500,8,0.768
sig_RandomForest,500,9,0.784
sig_RandomForest,500,10,0.764
sig_RandomForest,500,11,0.776
sig_RandomForest,500,12,0.772
sig_RandomForest,500,13,0.784
sig_RandomForest,500,14,0.784
sig_RandomForest,600,2,0.744
sig_RandomForest,600,3,0.76
sig_RandomForest,600,4,0.768
sig_RandomForest,600,5,0.764
sig_RandomForest,600,6,0.772
sig_RandomForest,600,7,0.768
sig_RandomForest,600,8,0.772
sig_RandomForest,600,9,0.792
sig_RandomForest,600,10,0.772
sig_RandomForest,600,11,0.78
sig_RandomForest,600,12,0.772
sig_RandomForest,600,13,0.772
sig_RandomForest,600,14,0.78
sig_RandomForest,800,2,0.756
sig_RandomForest,800,3,0.76
sig_RandomForest,800,4,0.772
sig_RandomForest,800,5,0.772
sig_RandomForest,800,6,0.776
sig_RandomForest,800,7,0.776
sig_RandomForest,800,8,0.772
sig_RandomForest,800,9,0.784
sig_RandomForest,800,10,0.78
sig_RandomForest,800,11,0.784
sig_RandomForest,800,12,0.776
sig_RandomForest,800,13,0.784
sig_RandomForest,800,14,0.776
